PLAYER,Mat,Inns,NO,2019_Runs,HS,Avg,BF,SR,100,50,4s,6s,HS_N,Runs_from_boundary,Runs_from_running,Runs_per_Match,Runs_per_Innings,4s_per_Match,4s_per_Innings,6s_per_Match,6s_per_Innings,50+_score,50+_per_Match,50+_per_Innings,number_of_outs,batting_per_match,SR_without_bounadry,6_to_4_ration,50_to_100_conversion_rate,Atleast_one_50+_score,2020_Runs
David Warner,12,12,2,692,100,69.2,481,143.86,1,8,57,21,1,354,338,57.666666666666664,57.666666666666664,4.75,4.75,1.75,1.75,9,0.75,0.75,10,1.0,0.8366336633663366,0.3620689655172414,0.1,1,616.9003877978698
KL Rahul,14,14,3,593,100,53.9,438,135.38,1,6,49,25,1,346,247,42.357142857142854,42.357142857142854,3.5,3.5,1.7857142857142858,1.7857142857142858,7,0.5,0.5,11,1.0,0.6767123287671233,0.5,0.125,1,536.8836698380487
Quinton de Kock,16,16,1,529,81,35.26,398,132.91,0,4,45,25,0,330,199,33.0625,33.0625,2.8125,2.8125,1.5625,1.5625,4,0.25,0.25,15,1.0,0.6048632218844985,0.5434782608695652,0.0,1,502.13571226335665
Shikhar Dhawan,16,16,1,521,97,34.73,384,135.67,0,5,64,11,1,322,199,32.5625,32.5625,4.0,4.0,0.6875,0.6875,5,0.3125,0.3125,15,1.0,0.6419354838709678,0.16923076923076924,0.0,1,483.1012581402425
Andre Russell,14,13,4,510,80,56.66,249,204.81,0,4,31,52,1,436,74,36.42857142857143,39.23076923076923,2.2142857142857144,2.3846153846153846,3.7142857142857144,4.0,4,0.2857142857142857,0.3076923076923077,9,0.9285714285714286,0.4431137724550898,1.625,0.0,1,467.2456765117409
Chris Gayle,13,13,1,490,99,40.83,319,153.6,0,4,45,34,1,384,106,37.69230769230769,37.69230769230769,3.4615384615384617,3.4615384615384617,2.6153846153846154,2.6153846153846154,4,0.3076923076923077,0.3076923076923077,12,1.0,0.43983402489626555,0.7391304347826086,0.0,1,450.9512121424794
Rishabh Pant,16,16,3,488,78,37.53,300,162.66,0,3,37,27,1,310,178,30.5,30.5,2.3125,2.3125,1.6875,1.6875,3,0.1875,0.1875,13,1.0,0.7510548523206751,0.7105263157894737,0.0,1,445.2897144046115
Virat Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13,0,262,202,33.142857142857146,33.142857142857146,3.2857142857142856,3.2857142857142856,0.9285714285714286,0.9285714285714286,3,0.21428571428571427,0.21428571428571427,14,1.0,0.7481481481481481,0.2765957446808511,0.25,1,432.71281792065565
Shreyas Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14,0,248,215,28.9375,28.9375,2.5625,2.5625,0.875,0.875,3,0.1875,0.1875,15,1.0,0.6475903614457831,0.3333333333333333,0.0,1,448.1074320720656
Jonny Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18,0,300,145,44.5,44.5,4.8,4.8,1.8,1.8,3,0.3,0.3,8,1.0,0.6651376146788991,0.3673469387755102,0.25,1,411.8809502544548
AB de Villiers,13,13,3,442,82,44.2,287,154.0,0,5,31,26,1,280,162,34.0,34.0,2.3846153846153846,2.3846153846153846,2.0,2.0,5,0.38461538461538464,0.38461538461538464,10,1.0,0.7012987012987013,0.8125,0.0,1,412.09533152825486
Suryakumar Yadav,16,15,2,424,71,32.61,324,130.86,0,2,45,10,1,240,184,26.5,28.266666666666666,2.8125,3.0,0.625,0.6666666666666666,2,0.125,0.13333333333333333,13,0.9375,0.6814814814814815,0.21739130434782608,0.0,1,410.9690429223782
MS Dhoni,15,12,7,416,84,83.2,309,134.62,0,3,22,23,1,226,190,27.733333333333334,34.666666666666664,1.4666666666666666,1.8333333333333333,1.5333333333333334,1.9166666666666667,3,0.2,0.25,5,0.8,0.7169811320754716,1.0,0.0,1,406.00041158485453
Chris Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22,0,296,109,31.153846153846153,31.153846153846153,3.1538461538461537,3.1538461538461537,1.6923076923076923,1.6923076923076923,4,0.3076923076923077,0.3076923076923077,13,1.0,0.4780701754385965,0.5238095238095238,0.0,1,404.99775613488004
Rohit Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10,0,268,137,27.0,27.0,3.466666666666667,3.466666666666667,0.6666666666666666,0.6666666666666666,2,0.13333333333333333,0.13333333333333333,14,1.0,0.5393700787401575,0.18867924528301888,0.0,1,403.8206344575425
Hardik Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29,0,286,116,25.125,26.8,1.75,1.8666666666666667,1.8125,1.9333333333333333,1,0.0625,0.06666666666666667,9,0.9375,0.7532467532467533,1.0,0.0,1,392.67962258405305
Shane Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20,0,288,110,23.41176470588235,23.41176470588235,2.4705882352941178,2.4705882352941178,1.1764705882352942,1.1764705882352942,3,0.17647058823529413,0.17647058823529413,17,1.0,0.43824701195219123,0.46511627906976744,0.0,1,446.7858461143408
Faf du Plessis,12,12,1,396,96,36.0,321,123.36,0,3,36,15,0,234,162,33.0,33.0,3.0,3.0,1.25,1.25,3,0.25,0.25,11,1.0,0.5977859778597786,0.40540540540540543,0.0,1,405.29459160390854
